gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn,totalcharges
Male,0,Yes,Yes,49,Yes,Yes,Yes,No,Yes,No,No,Month-to-month,59.6,2970.3,No,2970.3
Female,0,No,No,30,Yes,Yes,Yes,No,No,No,No,Month-to-month,55.3,1530.6,No,1530.6
Male,0,Yes,Yes,47,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,99.35,4749.15,Yes,4749.15
Male,0,Yes,Yes,1,No,No,Yes,No,No,No,No,Month-to-month,30.2,30.2,Yes,30.2
Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,90.25,6369.45,No,6369.45
Female,0,No,Yes,17,Yes,No,No,No,No,Yes,Yes,Month-to-month,64.7,1093.1,Yes,1093.1
Female,1,Yes,No,71,Yes,Yes,Yes,Yes,Yes,No,No,Two year,96.35,6766.95,No,6766.95
Male,1,Yes,No,2,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,95.5,181.65,No,181.65
Female,0,Yes,Yes,27,Yes,Yes,Yes,Yes,Yes,No,No,One year,66.15,1874.45,No,1874.45
Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.2,20.2,No,20.2
Male,1,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.25,45.25,No,45.25
Female,0,Yes,Yes,72,Yes,Yes,Yes,No,Yes,Yes,No,Two year,99.9,7251.7,No,7251.7
Male,0,No,No,5,Yes,No,No,No,No,No,No,Month-to-month,69.7,316.9,Yes,316.9
Female,0,No,No,46,Yes,No,No,Yes,No,No,No,Month-to-month,74.8,3548.3,No,3548.3
Male,0,No,No,34,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,106.35,3549.25,Yes,3549.25
Female,0,No,No,11,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,97.85,1105.4,Yes,1105.4
Male,0,Yes,Yes,10,Yes,No,Yes,No,No,No,No,One year,49.55,475.7,No,475.7
Female,0,Yes,Yes,70,Yes,Yes,Yes,No,No,Yes,No,Two year,69.2,4872.35,No,4872.35
Female,0,Yes,Yes,17,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.75,418.25,No,418.25
Female,0,No,No,63,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,79.85,4861.45,No,4861.45
Female,0,Yes,No,13,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,76.2,981.45,No,981.45
Female,0,No,No,49,Yes,No,No,No,No,No,Yes,Month-to-month,84.5,3906.7,No,3906.7
Male,0,No,No,2,Yes,No,Yes,No,No,No,No,Month-to-month,49.25,97,No,97.0
Female,0,No,No,2,Yes,No,No,No,No,Yes,No,Month-to-month,80.65,144.15,Yes,144.15
Male,0,No,No,52,Yes,Yes,No,No,Yes,Yes,Yes,Two year,79.75,4217.8,No,4217.8
Female,0,Yes,Yes,69,Yes,Yes,No,Yes,Yes,No,No,Two year,64.15,4254.1,No,4254.1
Female,1,No,No,43,Yes,No,Yes,No,No,Yes,No,Month-to-month,90.25,3838.75,No,3838.75
Female,0,No,No,15,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,99.1,1426.4,Yes,1426.4
Female,1,Yes,No,25,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,69.5,1752.65,No,1752.65
Female,1,Yes,No,8,Yes,No,Yes,No,No,No,No,Month-to-month,80.65,633.3,Yes,633.3
Female,1,Yes,Yes,60,Yes,Yes,Yes,Yes,Yes,No,Yes,One year,74.85,4456.35,No,4456.35
Male,1,No,No,18,Yes,No,No,No,No,Yes,Yes,Month-to-month,95.45,1752.55,Yes,1752.55
Female,0,Yes,Yes,63,Yes,Yes,No,No,No,Yes,Yes,One year,99.65,6311.2,No,6311.2
Male,1,Yes,Yes,66,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,108.45,7076.35,No,7076.35
Female,0,Yes,Yes,34,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.95,894.3,No,894.3
Female,0,No,No,72,Yes,No,No,Yes,Yes,Yes,Yes,Two year,107.5,7853.7,No,7853.7
Female,0,Yes,No,47,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,100.5,4707.1,No,4707.1
Male,0,No,No,60,Yes,No,Yes,No,No,Yes,No,Month-to-month,89.9,5450.7,No,5450.7
Male,0,Yes,No,72,No,Yes,Yes,Yes,No,No,No,Two year,42.1,2962,No,2962.0
Female,0,Yes,Yes,18,Yes,No,No,Yes,Yes,No,No,One year,54.4,957.1,No,957.1
Female,0,No,No,9,Yes,No,No,No,No,Yes,Yes,Month-to-month,94.4,857.25,Yes,857.25
Female,0,No,No,3,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,75.3,244.1,No,244.1
Male,0,Yes,No,47,Yes,No,Yes,No,No,No,No,One year,78.9,3650.35,No,3650.35
Female,0,No,No,31,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,79.2,2497.2,No,2497.2
Female,0,Yes,Yes,50,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.15,930.9,No,930.9
Male,0,No,No,10,Yes,Yes,No,Yes,No,No,No,Month-to-month,79.85,887.35,No,887.35
Male,0,No,No,1,Yes,No,No,No,Yes,No,No,Month-to-month,49.05,49.05,No,49.05
Female,0,Yes,Yes,52,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.4,1090.65,No,1090.65
Male,1,Yes,Yes,64,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,111.6,7099,No,7099.0
Male,0,Yes,Yes,62,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.25,1424.6,No,1424.6
Female,0,No,Yes,3,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,64.5,177.4,No,177.4
Female,1,No,No,56,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,110.5,6139.5,No,6139.5
Female,0,No,No,46,Yes,No,No,No,No,No,Yes,One year,55.65,2688.85,No,2688.85
Female,0,Yes,Yes,8,Yes,Yes,Yes,No,No,No,No,Month-to-month,54.65,482.25,No,482.25
Male,1,No,No,30,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,74.75,2111.3,No,2111.3
Female,0,Yes,Yes,45,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,25.9,1216.6,No,1216.6
Female,0,No,Yes,1,Yes,No,No,No,No,Yes,No,Month-to-month,79.35,79.35,Yes,79.35
Female,0,Yes,Yes,11,No,Yes,No,No,No,Yes,Yes,Month-to-month,50.55,565.35,No,565.35
Female,0,Yes,No,7,Yes,No,No,Yes,No,No,No,Month-to-month,75.15,496.9,Yes,496.9
Female,0,No,No,42,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,103.8,4327.5,No,4327.5
Female,0,Yes,No,49,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.15,973.35,No,973.35
Male,0,No,No,9,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,99.3,918.75,No,918.75
Female,0,Yes,No,35,Yes,Yes,No,No,No,Yes,No,One year,62.15,2215.45,No,2215.45
Female,0,Yes,Yes,48,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.65,1057,No,1057.0
Female,0,Yes,Yes,46,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.95,927.1,No,927.1
Male,0,Yes,No,29,No,No,No,No,No,Yes,No,Month-to-month,33.75,1009.25,No,1009.25
Male,0,Yes,Yes,30,Yes,No,Yes,Yes,No,No,No,Month-to-month,82.05,2570.2,No,2570.2
Male,1,No,No,1,Yes,No,No,No,Yes,No,No,Month-to-month,74.7,74.7,No,74.7
Male,0,Yes,Yes,66,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,84.0,5714.25,No,5714.25
Female,0,No,No,65,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,111.05,7107,No,7107.0
Male,0,No,No,72,Yes,No,Yes,Yes,No,Yes,Yes,Two year,100.9,7459.05,No,7459.05
Female,0,No,No,12,Yes,Yes,No,No,No,No,No,Month-to-month,78.95,927.35,Yes,927.35
Male,0,Yes,Yes,71,Yes,Yes,Yes,No,Yes,No,No,One year,66.85,4748.7,No,4748.7
Male,0,No,No,5,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,21.05,113.85,Yes,113.85
Male,0,No,No,52,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,21.0,1107.2,No,1107.2
Female,1,Yes,No,25,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,98.5,2514.5,Yes,2514.5
Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.2,20.2,No,20.2
Female,0,Yes,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.45,19.45,No,19.45
Male,0,No,No,38,Yes,No,No,Yes,Yes,Yes,No,One year,95.0,3605.6,No,3605.6
Female,1,Yes,No,66,No,No,Yes,Yes,No,Yes,No,One year,45.55,3027.25,No,3027.25
Male,0,Yes,No,68,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,110.0,7611.85,Yes,7611.85
Male,0,No,No,5,No,No,No,No,No,No,No,Month-to-month,24.3,100.2,No,100.2
Female,0,Yes,Yes,72,Yes,Yes,Yes,No,No,Yes,Yes,One year,104.15,7303.05,No,7303.05
Female,0,No,No,32,No,Yes,No,No,No,No,No,One year,30.15,927.65,No,927.65
Male,0,No,No,43,Yes,No,No,No,No,Yes,Yes,One year,94.35,3921.3,No,3921.3
Male,0,Yes,Yes,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.4,1363.25,No,1363.25
Male,0,Yes,No,55,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,96.75,5238.9,Yes,5238.9
Female,0,No,No,52,Yes,Yes,No,Yes,Yes,No,No,One year,57.95,3042.25,No,3042.25
Female,0,No,No,43,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,91.65,3954.1,No,3954.1
Female,1,Yes,No,37,Yes,No,No,No,No,No,No,Month-to-month,76.5,2868.15,Yes,2868.15
Female,0,Yes,Yes,64,No,No,Yes,No,Yes,Yes,Yes,Two year,54.6,3423.5,No,3423.5
Male,0,Yes,Yes,3,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,89.85,248.4,No,248.4
Female,0,No,No,36,No,Yes,No,No,No,No,No,Two year,31.05,1126.35,No,1126.35
Female,0,Yes,Yes,10,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,100.25,1064.65,Yes,1064.65
Female,0,No,No,41,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.65,835.15,No,835.15
Male,0,Yes,Yes,27,Yes,No,Yes,No,Yes,No,No,Month-to-month,85.2,2151.6,No,2151.6
Female,0,Yes,Yes,56,Yes,No,No,Yes,No,Yes,Yes,One year,99.8,5515.45,No,5515.45
Female,0,No,No,6,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.7,112.75,No,112.75
Male,0,No,No,3,Yes,No,No,No,No,No,No,Month-to-month,74.4,229.55,Yes,229.55
Female,0,Yes,Yes,7,Yes,Yes,No,No,No,No,No,Month-to-month,50.7,350.35,No,350.35
Female,0,Yes,Yes,4,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.85,62.9,No,62.9
Male,0,No,No,33,Yes,Yes,No,No,Yes,Yes,No,Two year,88.95,3027.65,No,3027.65
Female,1,No,No,27,Yes,No,No,Yes,No,No,No,Month-to-month,78.05,2135.5,Yes,2135.5
Male,0,Yes,No,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,23.55,1723.95,No,1723.95
Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.75,19.75,No,19.75
Male,1,No,No,71,No,Yes,Yes,No,No,Yes,Yes,One year,56.45,3985.35,No,3985.35
Female,0,No,No,13,Yes,No,No,No,No,No,Yes,Month-to-month,85.95,1215.65,No,1215.65
Female,0,Yes,Yes,25,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,58.6,1502.65,Yes,1502.65
Male,0,No,No,67,Yes,No,No,No,Yes,No,No,Two year,50.55,3260.1,No,3260.1
Male,0,No,No,1,No,No,No,No,No,No,Yes,Month-to-month,35.45,35.45,Yes,35.45
Male,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,44.35,81.25,Yes,81.25
Female,0,No,No,43,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.7,1188.2,No,1188.2
Female,0,No,No,23,Yes,Yes,No,No,No,No,No,Month-to-month,75.0,1778.5,No,1778.5
Female,0,Yes,Yes,64,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.2,1277.75,No,1277.75
Male,0,No,Yes,57,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.6,1170.55,No,1170.55
Female,1,Yes,No,1,Yes,No,No,No,No,No,No,Month-to-month,70.45,70.45,Yes,70.45
Female,1,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,88.05,6425.65,No,6425.65
Female,0,No,No,8,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,71.15,563.65,Yes,563.65
Female,0,Yes,No,61,Yes,No,Yes,No,No,Yes,Yes,Two year,101.05,5971.25,No,5971.25
Male,0,No,No,64,Yes,Yes,Yes,No,No,No,No,One year,84.3,5289.05,No,5289.05
Male,1,Yes,No,71,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,23.95,1756.2,No,1756.2
Female,0,Yes,Yes,65,Yes,Yes,Yes,No,Yes,Yes,No,Two year,99.05,6416.7,No,6416.7
Male,0,No,No,3,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.6,61.35,No,61.35
Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.65,45.65,Yes,45.65
Male,0,No,Yes,30,Yes,No,Yes,Yes,No,Yes,No,One year,64.5,1929.95,No,1929.95
Male,0,Yes,Yes,15,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-month,69.5,1071.4,No,1071.4
Female,0,Yes,Yes,8,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,68.55,564.35,No,564.35
Male,0,No,No,7,Yes,No,No,No,No,Yes,Yes,Month-to-month,95.0,655.5,Yes,655.5
Female,0,Yes,Yes,70,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,108.15,7930.55,No,7930.55
Male,0,Yes,Yes,62,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,86.1,5215.25,No,5215.25
Female,0,Yes,Yes,6,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.7,113.5,No,113.5
Female,0,Yes,Yes,14,Yes,No,No,No,No,No,Yes,Month-to-month,80.9,1152.8,No,1152.8
Female,0,No,No,22,Yes,No,No,No,No,Yes,No,Month-to-month,84.15,1821.95,No,1821.95
Male,0,Yes,Yes,22,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.15,419.9,No,419.9
Male,0,Yes,Yes,16,Yes,Yes,No,Yes,No,Yes,No,Two year,64.25,1024,No,1024.0
Male,0,No,No,10,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.7,251.6,No,251.6
Female,0,No,Yes,13,Yes,Yes,Yes,No,No,No,No,Month-to-month,56.0,764.55,No,764.55
Female,0,Yes,No,20,Yes,Yes,No,No,No,No,No,Month-to-month,82.4,1592.35,Yes,1592.35
Female,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,69.7,135.2,No,135.2
Male,0,No,No,53,Yes,No,Yes,Yes,Yes,No,Yes,Two year,73.9,3958.25,No,3958.25
Female,0,Yes,Yes,11,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.6,233.9,No,233.9
Male,0,Yes,No,69,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.9,1363.45,No,1363.45
Female,0,No,No,4,Yes,No,No,No,No,No,No,Month-to-month,70.9,273,Yes,273.0
Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,89.05,6254.45,No,6254.45
Male,1,Yes,No,58,No,No,Yes,Yes,No,No,Yes,Month-to-month,45.3,2651.2,Yes,2651.2
Female,0,Yes,Yes,16,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.4,321.4,No,321.4
Male,0,Yes,No,43,Yes,Yes,No,Yes,Yes,No,No,One year,84.25,3539.25,No,3539.25
Female,0,Yes,No,2,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,104.4,242.8,Yes,242.8
Male,0,Yes,No,14,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,81.95,1181.75,No,1181.75
Female,0,Yes,No,53,Yes,No,No,Yes,No,Yes,Yes,One year,94.85,5000.2,Yes,5000.2
Female,0,No,No,32,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.55,654.55,No,654.55
Female,0,Yes,No,34,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,24.7,780.2,No,780.2
Female,1,No,No,15,Yes,No,No,No,No,No,No,Month-to-month,74.45,1145.7,Yes,1145.7
Female,1,No,No,7,Yes,Yes,No,No,No,No,No,Month-to-month,76.45,503.6,Yes,503.6
Female,0,Yes,Yes,15,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,105.35,1559.25,No,1559.25
Male,0,Yes,No,61,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.55,1252,No,1252.0
Female,0,No,No,1,No,No,Yes,No,No,No,No,Month-to-month,29.95,29.95,Yes,29.95
Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.3,45.3,No,45.3
Male,0,No,No,8,Yes,No,No,No,No,No,Yes,Month-to-month,84.5,662.65,Yes,662.65
Male,0,Yes,Yes,33,Yes,Yes,No,Yes,No,Yes,Yes,One year,74.75,2453.3,No,2453.3
Female,0,No,No,13,Yes,No,Yes,Yes,No,No,No,Month-to-month,79.25,1111.65,Yes,1111.65
Female,0,Yes,No,1,No,No,No,No,No,No,No,Month-to-month,24.8,24.8,Yes,24.8
Male,0,No,No,20,Yes,No,Yes,No,No,No,No,Month-to-month,51.8,1023.85,No,1023.85
Male,0,No,No,3,No,No,No,No,Yes,No,No,Month-to-month,30.4,82.15,No,82.15
Female,0,No,No,13,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.65,244.8,No,244.8
Female,0,Yes,No,40,Yes,No,Yes,No,No,No,No,Month-to-month,56.6,2379.1,No,2379.1
Male,0,Yes,Yes,43,Yes,Yes,No,No,Yes,No,Yes,One year,71.9,3173.35,No,3173.35
Male,0,Yes,No,6,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,91.0,531,Yes,531.0
Female,0,Yes,Yes,69,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.75,1375.4,No,1375.4
Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,109.7,8129.3,No,8129.3
Male,0,Yes,Yes,59,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.3,1192.7,No,1192.7
Female,0,Yes,No,20,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,96.55,1901.65,No,1901.65
Male,0,Yes,Yes,24,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.1,587.4,No,587.4
Male,0,No,No,59,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,111.35,6519.75,No,6519.75
Male,0,Yes,Yes,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,112.25,8041.65,No,8041.65
Male,0,No,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.75,20.75,No,20.75
Female,0,Yes,No,27,Yes,Yes,No,No,Yes,Yes,Yes,One year,101.9,2681.15,No,2681.15
Female,0,No,No,14,Yes,No,Yes,No,Yes,No,No,Month-to-month,80.05,1112.3,No,1112.3
Male,0,Yes,Yes,71,Yes,Yes,No,Yes,No,Yes,Yes,Two year,105.55,7405.5,No,7405.5
Male,0,No,Yes,13,Yes,No,No,No,No,Yes,No,Month-to-month,78.3,1033.95,No,1033.95
Male,0,No,No,44,Yes,No,No,No,No,No,No,Month-to-month,68.85,2958.95,No,2958.95
Female,0,No,No,33,Yes,No,Yes,No,Yes,No,No,One year,79.95,2684.85,No,2684.85
Male,0,Yes,Yes,72,No,Yes,Yes,Yes,Yes,No,Yes,Two year,55.45,4179.2,No,4179.2
Male,0,No,No,1,Yes,No,No,No,No,No,Yes,Month-to-month,79.9,79.9,Yes,79.9
Female,0,No,No,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,106.6,1934.45,Yes,1934.45
Male,0,Yes,No,64,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,102.45,6654.1,No,6654.1
Male,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,46.0,84.5,Yes,84.5
Female,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,25.25,25.25,No,25.25
Male,0,No,Yes,61,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.75,1124.2,No,1124.2
Female,0,Yes,Yes,29,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.0,540.05,No,540.05
Male,1,Yes,No,23,Yes,No,No,No,No,No,Yes,Month-to-month,86.8,1975.85,No,1975.85
Female,0,Yes,No,57,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,58.75,3437.45,No,3437.45
Male,0,Yes,Yes,72,No,Yes,Yes,Yes,Yes,No,No,Two year,45.25,3139.8,No,3139.8
Male,0,Yes,No,66,No,Yes,Yes,Yes,Yes,Yes,No,Two year,56.6,3789.2,No,3789.2
Male,0,Yes,Yes,65,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,84.2,5324.5,No,5324.5
Female,0,No,No,8,Yes,No,No,No,No,Yes,No,Month-to-month,80.0,624.6,No,624.6
Female,0,No,No,4,Yes,No,No,No,No,No,No,Month-to-month,70.15,268.35,Yes,268.35
Female,0,Yes,No,71,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.75,1836.9,No,1836.9
Male,0,Yes,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.2,20.2,No,20.2
Male,0,Yes,No,4,Yes,No,No,No,Yes,No,No,Month-to-month,50.05,179.35,Yes,179.35
Female,0,No,No,12,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.35,219.35,No,219.35
Male,0,No,No,24,No,Yes,No,No,No,Yes,Yes,One year,50.6,1288.75,No,1288.75
Female,0,Yes,Yes,31,Yes,Yes,No,Yes,Yes,Yes,Yes,One year,81.15,2545.75,No,2545.75
Female,0,Yes,No,1,Yes,No,No,No,No,Yes,No,Month-to-month,55.2,55.2,Yes,55.2
Male,0,No,No,30,Yes,No,No,No,Yes,No,Yes,Month-to-month,89.9,2723.15,No,2723.15
Female,0,Yes,Yes,47,Yes,Yes,Yes,No,Yes,Yes,Yes,Two year,85.3,4107.25,No,4107.25
Male,0,No,No,54,Yes,Yes,Yes,No,Yes,Yes,Yes,Two year,108.0,5760.65,No,5760.65
Male,0,No,No,50,Yes,Yes,Yes,No,Yes,No,Yes,Month-to-month,93.5,4747.5,No,4747.5
Male,0,No,No,1,Yes,Yes,No,No,No,No,Yes,Month-to-month,84.6,84.6,Yes,84.6
Female,0,No,No,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.25,1566.9,No,1566.9
Female,0,No,No,29,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,25.15,702,No,702.0
Male,0,No,No,2,Yes,No,Yes,No,No,No,No,Month-to-month,54.4,114.1,Yes,114.1
Female,0,No,No,10,No,No,No,No,Yes,No,No,Two year,29.6,299.05,No,299.05
Male,0,Yes,No,18,Yes,No,No,No,No,No,No,Month-to-month,73.15,1305.95,No,1305.95
Female,1,No,No,11,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,95.0,1120.3,Yes,1120.3
Male,0,No,No,16,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.75,284.35,No,284.35
